timestamp,username,topic,success
2026-05-17T15:32:12.279673,Darkhan,Arithmetic,False
2026-05-17T15:32:18.711800,Darkhan,Arithmetic,True
2026-05-17T15:32:25.545551,Darkhan,Arithmetic,True
2026-05-17T15:32:29.812280,Darkhan,Arithmetic,False
2026-05-17T15:32:35.312856,Darkhan,Arithmetic,True
2026-05-17T15:32:40.262683,Darkhan,Arithmetic,True
2026-05-17T15:32:45.728215,Darkhan,Powers,True
2026-05-17T15:33:19.645800,Darkhan,Powers,True
2026-05-17T15:33:23.080169,Darkhan,Powers,True
2026-05-17T15:33:26.396794,Darkhan,Powers,True
2026-05-17T15:33:29.029500,Darkhan,Powers,True
2026-05-17T15:33:37.562641,Darkhan,Equations,False
2026-05-17T15:33:40.962609,Darkhan,Equations,True
2026-05-17T15:33:43.129670,Darkhan,Equations,False
2026-05-17T15:33:44.811345,Darkhan,Equations,True
2026-05-17T15:33:46.578874,Darkhan,Equations,True
2026-05-17T15:33:48.295820,Darkhan,Equations,False
